"TIME","GEO","UNIT","SEX","AGE","ICD10","Value"
"1994","EL13","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","11.3"
"1994","EL13","Rate","Total","65 years or over","Intentional self-harm","4.5"
"1994","EL14","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","17.1"
"1994","EL14","Rate","Total","65 years or over","Intentional self-harm","9.4"
"1994","EL21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","11.7"
"1994","EL21","Rate","Total","65 years or over","Intentional self-harm","15.0"
"1994","EL23","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","7.1"
"1994","EL23","Rate","Total","65 years or over","Intentional self-harm","9.8"
"1994","EL24","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","8.3"
"1994","EL24","Rate","Total","65 years or over","Intentional self-harm","7.3"
"1994","EL25","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","12.9"
"1994","EL25","Rate","Total","65 years or over","Intentional self-harm","6.0"
"1994","EL43","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","16.8"
"1994","EL43","Rate","Total","65 years or over","Intentional self-harm","9.0"
"1994","ES11","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","130.3"
"1994","ES11","Rate","Total","65 years or over","Intentional self-harm","19.3"
"1994","ES12","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","198.8"
"1994","ES12","Rate","Total","65 years or over","Intentional self-harm","33.4"
"1994","ES13","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","157.9"
"1994","ES13","Rate","Total","65 years or over","Intentional self-harm","7.9"
"1994","ES21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","154.2"
"1994","ES21","Rate","Total","65 years or over","Intentional self-harm","14.3"
"1994","ES22","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","133.5"
"1994","ES22","Rate","Total","65 years or over","Intentional self-harm","16.1"
"1994","ES23","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","128.3"
"1994","ES23","Rate","Total","65 years or over","Intentional self-harm","17.1"
"1994","ES24","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","193.0"
"1994","ES24","Rate","Total","65 years or over","Intentional self-harm","20.5"
"1994","ES30","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","120.5"
"1994","ES30","Rate","Total","65 years or over","Intentional self-harm","7.7"
"1994","ES41","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","108.7"
"1994","ES41","Rate","Total","65 years or over","Intentional self-harm","19.5"
"1994","ES42","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","117.1"
"1994","ES42","Rate","Total","65 years or over","Intentional self-harm","19.0"
"1994","ES43","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","92.0"
"1994","ES43","Rate","Total","65 years or over","Intentional self-harm","23.0"
"1994","ES51","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","186.2"
"1994","ES51","Rate","Total","65 years or over","Intentional self-harm","16.6"
"1994","ES52","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","141.7"
"1994","ES52","Rate","Total","65 years or over","Intentional self-harm","19.0"
"1994","ES53","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","123.6"
"1994","ES53","Rate","Total","65 years or over","Intentional self-harm","16.9"
"1994","ES61","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","95.3"
"1994","ES61","Rate","Total","65 years or over","Intentional self-harm","24.2"
"1994","ES62","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","150.1"
"1994","ES62","Rate","Total","65 years or over","Intentional self-harm","18.8"
"1994","ES63","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","227.5"
"1994","ES63","Rate","Total","65 years or over","Intentional self-harm","14.2"
"1994","ES70","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","115.1"
"1994","ES70","Rate","Total","65 years or over","Intentional self-harm","10.2"
"1994","FR10","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","95.5"
"1994","FR10","Rate","Total","65 years or over","Intentional self-harm","22.0"
"1994","FR21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","131.6"
"1994","FR21","Rate","Total","65 years or over","Intentional self-harm","35.6"
"1994","FR22","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","119.8"
"1994","FR22","Rate","Total","65 years or over","Intentional self-harm","50.8"
"1994","FR23","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","145.1"
"1994","FR23","Rate","Total","65 years or over","Intentional self-harm","61.3"
"1994","FR24","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","141.0"
"1994","FR24","Rate","Total","65 years or over","Intentional self-harm","57.7"
"1994","FR25","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","142.0"
"1994","FR25","Rate","Total","65 years or over","Intentional self-harm","56.3"
"1994","FR26","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","134.4"
"1994","FR26","Rate","Total","65 years or over","Intentional self-harm","43.5"
"1994","FR30","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","116.9"
"1994","FR30","Rate","Total","65 years or over","Intentional self-harm","46.3"
"1994","FR41","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","153.6"
"1994","FR41","Rate","Total","65 years or over","Intentional self-harm","42.1"
"1994","FR42","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","182.8"
"1994","FR42","Rate","Total","65 years or over","Intentional self-harm","32.6"
"1994","FR43","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","154.2"
"1994","FR43","Rate","Total","65 years or over","Intentional self-harm","41.7"
"1994","FR51","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","112.1"
"1994","FR51","Rate","Total","65 years or over","Intentional self-harm","47.6"
"1994","FR52","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","132.2"
"1994","FR52","Rate","Total","65 years or over","Intentional self-harm","56.4"
"1994","FR53","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","114.6"
"1994","FR53","Rate","Total","65 years or over","Intentional self-harm","57.1"
"1994","FR61","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","119.0"
"1994","FR61","Rate","Total","65 years or over","Intentional self-harm","41.9"
"1994","FR62","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","111.9"
"1994","FR62","Rate","Total","65 years or over","Intentional self-harm","30.1"
"1994","FR63","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","151.7"
"1994","FR63","Rate","Total","65 years or over","Intentional self-harm","48.4"
"1994","FR71","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","115.1"
"1994","FR71","Rate","Total","65 years or over","Intentional self-harm","28.9"
"1994","FR72","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","152.0"
"1994","FR72","Rate","Total","65 years or over","Intentional self-harm","37.8"
"1994","FR81","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","95.2"
"1994","FR81","Rate","Total","65 years or over","Intentional self-harm","33.3"
"1994","FR82","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","98.3"
"1994","FR82","Rate","Total","65 years or over","Intentional self-harm","32.6"
"1994","FR83","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","86.8"
"1994","FR83","Rate","Total","65 years or over","Intentional self-harm","22.3"
"1994","HU10","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","14.6"
"1994","HU10","Rate","Total","65 years or over","Intentional self-harm","70.3"
"1994","HU21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","9.7"
"1994","HU21","Rate","Total","65 years or over","Intentional self-harm","52.0"
"1994","HU22","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","15.4"
"1994","HU22","Rate","Total","65 years or over","Intentional self-harm","35.7"
"1994","HU23","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","24.3"
"1994","HU23","Rate","Total","65 years or over","Intentional self-harm","65.0"
"1994","HU31","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","47.8"
"1994","HU31","Rate","Total","65 years or over","Intentional self-harm","43.9"
"1994","HU32","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","29.1"
"1994","HU32","Rate","Total","65 years or over","Intentional self-harm","84.8"
"1994","HU33","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","36.4"
"1994","HU33","Rate","Total","65 years or over","Intentional self-harm","111.7"
"1994","NL11","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","252.9"
"1994","NL11","Rate","Total","65 years or over","Intentional self-harm","16.2"
"1994","NL12","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","155.7"
"1994","NL12","Rate","Total","65 years or over","Intentional self-harm","19.9"
"1994","NL13","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","199.4"
"1994","NL13","Rate","Total","65 years or over","Intentional self-harm","24.5"
"1994","NL21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","172.0"
"1994","NL21","Rate","Total","65 years or over","Intentional self-harm","17.6"
"1994","NL22","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","181.8"
"1994","NL22","Rate","Total","65 years or over","Intentional self-harm","14.9"
"1994","NL23","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","51.6"
"1994","NL23","Rate","Total","65 years or over","Intentional self-harm","12.9"
"1994","NL31","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","202.5"
"1994","NL31","Rate","Total","65 years or over","Intentional self-harm","13.8"
"1994","NL32","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","223.0"
"1994","NL32","Rate","Total","65 years or over","Intentional self-harm","18.5"
"1994","NL33","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","180.4"
"1994","NL33","Rate","Total","65 years or over","Intentional self-harm","14.3"
"1994","NL34","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","178.5"
"1994","NL34","Rate","Total","65 years or over","Intentional self-harm","15.4"
"1994","NL41","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","145.0"
"1994","NL41","Rate","Total","65 years or over","Intentional self-harm","10.6"
"1994","NL42","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","143.7"
"1994","NL42","Rate","Total","65 years or over","Intentional self-harm","14.1"
"1994","AT11","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","2.2"
"1994","AT11","Rate","Total","65 years or over","Intentional self-harm","32.4"
"1994","AT12","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","9.4"
"1994","AT12","Rate","Total","65 years or over","Intentional self-harm","50.2"
"1994","AT13","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","5.2"
"1994","AT13","Rate","Total","65 years or over","Intentional self-harm","32.4"
"1994","AT21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","2.4"
"1994","AT21","Rate","Total","65 years or over","Intentional self-harm","43.8"
"1994","AT22","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","3.8"
"1994","AT22","Rate","Total","65 years or over","Intentional self-harm","53.8"
"1994","AT31","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","6.9"
"1994","AT31","Rate","Total","65 years or over","Intentional self-harm","39.9"
"1994","AT32","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.6"
"1994","AT32","Rate","Total","65 years or over","Intentional self-harm","45.2"
"1994","AT33","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","6.2"
"1994","AT33","Rate","Total","65 years or over","Intentional self-harm","42.1"
"1994","AT34","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","10.6"
"1994","AT34","Rate","Total","65 years or over","Intentional self-harm","23.8"
"1994","SE11","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","183.4"
"1994","SE11","Rate","Total","65 years or over","Intentional self-harm","27.5"
"1994","SE12","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","145.4"
"1994","SE12","Rate","Total","65 years or over","Intentional self-harm","26.6"
"1994","SE21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","120.0"
"1994","SE21","Rate","Total","65 years or over","Intentional self-harm","17.0"
"1994","SE22","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","141.0"
"1994","SE22","Rate","Total","65 years or over","Intentional self-harm","31.5"
"1994","SE23","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","163.0"
"1994","SE23","Rate","Total","65 years or over","Intentional self-harm","21.9"
"1994","SE31","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","148.5"
"1994","SE31","Rate","Total","65 years or over","Intentional self-harm","27.2"
"1994","SE32","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","180.0"
"1994","SE32","Rate","Total","65 years or over","Intentional self-harm","24.3"
"1994","SE33","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","223.9"
"1994","SE33","Rate","Total","65 years or over","Intentional self-harm","25.4"
"1994","NO01","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","145.2"
"1994","NO01","Rate","Total","65 years or over","Intentional self-harm","19.5"
"1994","NO02","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","150.9"
"1994","NO02","Rate","Total","65 years or over","Intentional self-harm","15.5"
"1994","NO03","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","93.1"
"1994","NO03","Rate","Total","65 years or over","Intentional self-harm","16.7"
"1994","NO04","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","133.3"
"1994","NO04","Rate","Total","65 years or over","Intentional self-harm","9.4"
"1994","NO05","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","83.7"
"1994","NO05","Rate","Total","65 years or over","Intentional self-harm","6.4"
"1994","NO06","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","83.9"
"1994","NO06","Rate","Total","65 years or over","Intentional self-harm","4.8"
"1994","NO07","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","79.9"
"1994","NO07","Rate","Total","65 years or over","Intentional self-harm","21.4"
"1994","UKC1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","91.2"
"1994","UKC1","Rate","Total","65 years or over","Intentional self-harm","7.4"
"1994","UKC2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","107.7"
"1994","UKC2","Rate","Total","65 years or over","Intentional self-harm","5.1"
"1994","UKD1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","90.8"
"1994","UKD1","Rate","Total","65 years or over","Intentional self-harm","7.0"
"1994","UKD3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","70.4"
"1994","UKD3","Rate","Total","65 years or over","Intentional self-harm","5.7"
"1994","UKD4","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","73.7"
"1994","UKD4","Rate","Total","65 years or over","Intentional self-harm","8.9"
"1994","UKE1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","82.3"
"1994","UKE1","Rate","Total","65 years or over","Intentional self-harm","8.4"
"1994","UKE2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","101.4"
"1994","UKE2","Rate","Total","65 years or over","Intentional self-harm","8.6"
"1994","UKE3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","99.7"
"1994","UKE3","Rate","Total","65 years or over","Intentional self-harm","8.7"
"1994","UKE4","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","93.6"
"1994","UKE4","Rate","Total","65 years or over","Intentional self-harm","6.4"
"1994","UKF1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","97.6"
"1994","UKF1","Rate","Total","65 years or over","Intentional self-harm","5.4"
"1994","UKF2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","97.6"
"1994","UKF2","Rate","Total","65 years or over","Intentional self-harm","8.7"
"1994","UKF3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","80.7"
"1994","UKF3","Rate","Total","65 years or over","Intentional self-harm","5.4"
"1994","UKG1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","89.4"
"1994","UKG1","Rate","Total","65 years or over","Intentional self-harm","9.9"
"1994","UKG2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","84.1"
"1994","UKG2","Rate","Total","65 years or over","Intentional self-harm","6.3"
"1994","UKG3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","76.8"
"1994","UKG3","Rate","Total","65 years or over","Intentional self-harm","8.7"
"1994","UKH1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","104.1"
"1994","UKH1","Rate","Total","65 years or over","Intentional self-harm","8.3"
"1994","UKH2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","88.2"
"1994","UKH2","Rate","Total","65 years or over","Intentional self-harm","10.7"
"1994","UKH3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","74.4"
"1994","UKH3","Rate","Total","65 years or over","Intentional self-harm","8.3"
"1994","UKJ1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","93.8"
"1994","UKJ1","Rate","Total","65 years or over","Intentional self-harm","12.0"
"1994","UKJ2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","85.0"
"1994","UKJ2","Rate","Total","65 years or over","Intentional self-harm","7.6"
"1994","UKJ3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","108.3"
"1994","UKJ3","Rate","Total","65 years or over","Intentional self-harm","7.6"
"1994","UKJ4","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","84.9"
"1994","UKJ4","Rate","Total","65 years or over","Intentional self-harm","11.4"
"1994","UKK1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","103.6"
"1994","UKK1","Rate","Total","65 years or over","Intentional self-harm","6.7"
"1994","UKK2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","91.1"
"1994","UKK2","Rate","Total","65 years or over","Intentional self-harm","9.1"
"1994","UKM","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","126.7"
"1994","UKM","Rate","Total","65 years or over","Intentional self-harm","8.5"
"1994","UKN0","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","26.3"
"1994","UKN0","Rate","Total","65 years or over","Intentional self-harm","6.7"
"1995","CZ01","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.0"
"1995","CZ01","Rate","Total","65 years or over","Intentional self-harm","32.1"
"1995","CZ04","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","0.8"
"1995","CZ04","Rate","Total","65 years or over","Intentional self-harm","50.1"
"1995","CZ05","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.0"
"1995","CZ05","Rate","Total","65 years or over","Intentional self-harm","29.4"
"1995","CZ06","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.8"
"1995","CZ06","Rate","Total","65 years or over","Intentional self-harm","30.2"
"1995","CZ07","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","0.6"
"1995","CZ07","Rate","Total","65 years or over","Intentional self-harm","27.4"
"1995","DE1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","38.0"
"1995","DE1","Rate","Total","65 years or over","Intentional self-harm","30.5"
"1995","DE2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","39.2"
"1995","DE2","Rate","Total","65 years or over","Intentional self-harm","31.4"
"1995","DE3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","70.3"
"1995","DE3","Rate","Total","65 years or over","Intentional self-harm","34.7"
"1995","DE4","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","14.0"
"1995","DE4","Rate","Total","65 years or over","Intentional self-harm","33.1"
"1995","DE5","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","26.6"
"1995","DE5","Rate","Total","65 years or over","Intentional self-harm","36.6"
"1995","DE6","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","49.6"
"1995","DE6","Rate","Total","65 years or over","Intentional self-harm","43.4"
"1995","DE7","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","49.8"
"1995","DE7","Rate","Total","65 years or over","Intentional self-harm","28.3"
"1995","DE8","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","53.8"
"1995","DE8","Rate","Total","65 years or over","Intentional self-harm","27.8"
"1995","DE9","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","40.0"
"1995","DE9","Rate","Total","65 years or over","Intentional self-harm","34.0"
"1995","DEA","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","28.0"
"1995","DEA","Rate","Total","65 years or over","Intentional self-harm","19.6"
"1995","DEB","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","92.6"
"1995","DEB","Rate","Total","65 years or over","Intentional self-harm","24.0"
"1995","DEC","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","110.1"
"1995","DEC","Rate","Total","65 years or over","Intentional self-harm","109.6"
"1995","DED","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","9.0"
"1995","DED","Rate","Total","65 years or over","Intentional self-harm","3.9"
"1995","DEE","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","44.8"
"1995","DEE","Rate","Total","65 years or over","Intentional self-harm","81.3"
"1995","DEF","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","57.5"
"1995","DEF","Rate","Total","65 years or over","Intentional self-harm","34.3"
"1995","DEG","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","19.3"
"1995","DEG","Rate","Total","65 years or over","Intentional self-harm","47.1"
"1995","EL11","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","15.6"
"1995","EL11","Rate","Total","65 years or over","Intentional self-harm","3.3"
"1995","EL12","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","7.0"
"1995","EL12","Rate","Total","65 years or over","Intentional self-harm","4.5"
"1995","EL13","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","6.5"
"1995","EL13","Rate","Total","65 years or over","Intentional self-harm","6.5"
"1995","EL14","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","5.0"
"1995","EL14","Rate","Total","65 years or over","Intentional self-harm","3.3"
"1995","EL21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","11.4"
"1995","EL21","Rate","Total","65 years or over","Intentional self-harm","13.1"
"1995","EL23","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","5.2"
"1995","EL23","Rate","Total","65 years or over","Intentional self-harm","9.6"
"1995","EL24","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","8.1"
"1995","EL24","Rate","Total","65 years or over","Intentional self-harm","4.1"
"1995","EL25","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","7.6"
"1995","EL25","Rate","Total","65 years or over","Intentional self-harm","9.3"
"1995","EL43","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","14.3"
"1995","EL43","Rate","Total","65 years or over","Intentional self-harm","9.9"
"1995","ES11","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","146.6"
"1995","ES11","Rate","Total","65 years or over","Intentional self-harm","21.3"
"1995","ES12","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","211.0"
"1995","ES12","Rate","Total","65 years or over","Intentional self-harm","34.0"
"1995","ES13","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","177.3"
"1995","ES13","Rate","Total","65 years or over","Intentional self-harm","5.5"
"1995","ES21","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","187.9"
"1995","ES21","Rate","Total","65 years or over","Intentional self-harm","13.2"
